ScenarioID,eventName,currencyOfEvent,instrument,enabledOrderDirection,orderDirection,secondsBeforePending,secondsBeforeModify,secondsAfterNews,isOCO,manageMoney,calcAmountWithMaxSpread,weight,pointsAway,takeProfit,stopLoss,modifyGap,secondsAfterNewsOffset,breakevenTrigger,breakevenDistance,trailingStop,trailingAfter,trailImmediately,riskPercent,amount,maxSpread,maxSlippage,,,,,0
3,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,2.783918011,0,2.207667072,0.1,0,4,0.5,5.46799341,1.481876555,TRUE,0.026,0.001,0,4,1075.53,0.555555556,2.107069522,,41.96111111
4,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,2.960114473,0,2.456232378,0.1,0,2,0.5,6.376179564,1.441569146,TRUE,0.026,0.001,0,999,,,,,0
5,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,4.251370691,0,2.247133521,0.1,0,0,0,6.298866852,1.64414401,TRUE,0.026,0.001,0,1,,,,,0
6,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,4.728043484,0,2.497541408,0.1,0,4,1,5.947128572,1.502041446,TRUE,0.039,0.001,0,2,1135.94,0.857142857,5.815733522,,116.52
7,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,4.375803816,0,2.566375306,0.1,0,4,0.5,5.437604781,1.448643744,TRUE,0.026,0.001,0,4,,,,,0
9,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,4.322659144,0,2.384875984,0.1,0,0,0,4.605992336,1.642435237,TRUE,0.013,0.001,0,999,1036.31,0.571428571,1.784233261,,20.74857143
10,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,4.625884586,0,2.746196713,0.1,0,4,1,3.857805643,1.609159684,TRUE,0.013,0.001,0,999,,,,,0
14,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,5.532123197,0,2.259957742,0.1,0,4,1,5.220757712,1.658598413,TRUE,0.013,0.001,0,2,1037.31,1,999,,37.31
20,Germany Markit PMI Composite,EUR,EUR/USD,BOTHDIRECTION,LONG,10,0,5,TRUE,TRUE,FALSE,1,8.262766329,0,2.268489836,0.1,0,2,0.5,5.370916433,1.536403968,TRUE,0.013,0.001,0,4,1028.66,1,999,,28.66
1,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,1.884603061,0,4.9104809,0.1,0,0,0,15.88090836,1.621360601,TRUE,0.052,0.001,0,999,1243.09,0.5,2.297545358,,121.545
2,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,2.674565396,0,5.586131305,0.1,0,0,0,17.91452652,1.642001321,TRUE,0.052,0.001,0,999,1185.72,0.529411765,1.982339255,,98.32235294
3,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,2.730691779,0,5.134141905,0.1,0,0,0,10.99211459,1.499079174,TRUE,0.052,0.001,0,999,1175.41,0.470588235,1.915370969,,82.54588235
4,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,3.534547304,0,5.364469129,0.1,0,0,0,12.56304689,1.652905592,TRUE,0.039,0.001,0,999,1140.72,0.466666667,1.788267593,,65.66933333
5,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,4.082321511,0,4.757752143,0.1,0,0,0,13.2853174,1.515048084,TRUE,0.039,0.001,0,999,,,,,0
6,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,4.413188017,0,4.868165471,0.1,0,0,0,12.87497344,1.426745389,TRUE,0.039,0.001,0,999,1138.1,0.470588235,1.693721748,,64.98823529
7,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,6.211166217,0,5.573203789,0.1,0,0,0,6.839636511,1.580904646,TRUE,0.039,0.001,0,999,1101.14,0.714285714,3.456178684,,72.24285714
8,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,5.590066253,0,5.084248112,0.1,0,0,0,9.275470368,1.6652686,TRUE,0.039,0.001,0,999,1094.99,0.714285714,2.815055407,,67.85
9,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,5.656451244,0,5.612869818,0.1,0,0,0,12.05101492,1.531769573,TRUE,0.039,0.001,0,999,1066.06,0.714285714,2.051877785,,47.18571429
10,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,6.422216101,0,5.621602428,0.1,0,0,0,9.866212563,1.460077374,TRUE,0.052,0.001,0,999,,,,,0
11,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,7.577980175,0,4.962267411,0.1,0,0,0,10.20935988,1.423410401,TRUE,0.052,0.001,0,999,1207.16,0.555555556,3.312716311,,115.0888889
12,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,7.251207308,0,5.600882623,0.1,0,0,0,13.89078426,1.673358572,TRUE,0.052,0.001,0,999,1204.47,0.666666667,3.324579354,,136.3133333
13,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,6.704332885,0,4.747492189,0.1,0,0,0,11.15235765,1.613833633,TRUE,0.052,0.001,0,999,1189,0.666666667,4.309578007,,126
14,United Kingdom Markit Services PMI,GBP,GBP/USD,BOTHDIRECTION,SHORT,10,0,5,TRUE,TRUE,FALSE,1,7.845142517,0,4.911767883,0.1,0,0,0,18.26760283,1.47753498,TRUE,0.052,0.001,0,999,1156.29,0.666666667,3.202479921,,104.1933333
