closeOnShutDown,pathEventCalendarCSV,pathMultiSettingCSV,isTest,isMultiScenarioRun,eventName,currencyOfEvent,testInstrument,enabledOrderDirection,pointsAway,takeProfit,stopLoss,modifyGap,secondsBeforePending,secondsBeforeModify,secondsAfterNews,secondsAfterNewsOffset,breakevenTrigger,breakevenDistance,trailingStop,trailingAfter,trailImmediately,isOCO,manageMoney,calcAmountWithMaxSpread,riskPercent,amount,maxSpread,maxSlippage,initDep,finishDep,commission,turnOver,eventPeriodsNbr,closedOrderNb,buyOrders,sellOrders,maxProfit,maxLoss,profitNb,lossNb,profitNbWithComm,lossNbWithComm,orderPercent,profitPercent,profitPercentWithComm,avrPLperevent,avrPLclosedorder,sumProfit,sumLoss,sumProfitCom,sumLossCom,PLrate,PLrateCom
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1009.02,31.500000000000004,656063.55,35,7,7,0,22.82,-16.51,5,2,3,4,0.2,0.7142857142857143,0.42857142857142855,0.2577142857142852,1.288571428571426,67.97999999999999,-27.43,50.519999999999996,-41.470000000000006,2.4783084214363833,1.2182300458162525
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1009.02,31.500000000000004,656063.55,35,7,7,0,22.82,-16.51,5,2,3,4,0.2,0.7142857142857143,0.42857142857142855,0.2577142857142852,1.288571428571426,67.97999999999999,-27.43,50.519999999999996,-41.470000000000006,2.4783084214363833,1.2182300458162525
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1018.87,50.760000000000005,1057375.51,35,11,11,0,22.06,-16.66,9,2,5,6,0.3142857142857143,0.8181818181818182,0.45454545454545453,0.5391428571428573,1.7154545454545458,97.36,-27.71,66.60999999999999,-47.720000000000006,3.513533020570191,1.3958507963118185
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,5.7,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1068.4,32.0,666392.78,35,7,7,0,48.69,0.0,7,0,4,3,0.2,1.0,0.5714285714285714,1.9542857142857168,9.771428571428585,100.41000000000001,0.0,76.57,-8.15,999.0,999.0
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,5.7,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1068.4,32.0,666392.78,35,7,7,0,48.69,0.0,7,0,4,3,0.2,1.0,0.5714285714285714,1.9542857142857168,9.771428571428585,100.41000000000001,0.0,76.57,-8.15,999.0,999.0
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,5.7,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1071.14,51.15,1065698.77,35,11,11,0,48.92,0.0,11,0,5,6,0.3142857142857143,1.0,0.45454545454545453,2.0325714285714316,6.467272727272737,122.28000000000002,0.0,87.75999999999999,-16.64,999.0,999.0
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,12.5,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1049.37,31.630000000000003,658934.58,35,7,7,0,47.82,0.0,7,0,2,5,0.2,1.0,0.2857142857142857,1.4105714285714255,7.052857142857127,81.01,0.0,63.2,-13.82,999.0,999.0
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,12.5,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1049.37,31.630000000000003,658934.58,35,7,7,0,47.82,0.0,7,0,2,5,0.2,1.0,0.2857142857142857,1.4105714285714255,7.052857142857127,81.01,0.0,63.2,-13.82,999.0,999.0
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,1.5,0.5,12.5,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1039.16,50.31999999999999,1048107.5199999998,35,11,11,0,47.46,0.0,11,0,2,9,0.3142857142857143,1.0,0.18181818181818182,1.1188571428571452,3.5600000000000076,89.47000000000001,0.0,62.02,-22.87,999.0,999.0
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1011.02,31.55,657012.97,35,7,7,0,22.82,-16.6,4,3,4,3,0.2,0.5714285714285714,0.5714285714285714,0.31485714285714234,1.5742857142857116,72.14999999999999,-29.560000000000002,53.559999999999995,-42.53,2.440798376184032,1.2593463437573476
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1011.02,31.55,657012.97,35,7,7,0,22.82,-16.6,4,3,4,3,0.2,0.5714285714285714,0.5714285714285714,0.31485714285714234,1.5742857142857116,72.14999999999999,-29.560000000000002,53.559999999999995,-42.53,2.440798376184032,1.2593463437573476
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,0.5,3.4,1.5,true,true,true,false,0.01,0.001,0.0,999.0,1000.0,1018.43,50.81999999999999,1058840.67,35,11,11,0,22.06,-16.75,8,3,6,5,0.3142857142857143,0.7272727272727273,0.5454545454545454,0.5265714285714271,1.6754545454545409,100.78,-31.5,69.68999999999998,-51.24,3.199365079365079,1.360070257611241
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,0.5,5.7,1.5,true,true,true,false,0.01,0.001,0.0,2.0,1000.0,1057.2,32.010000000000005,666568.15,35,7,7,0,48.69,-12.47,6,1,5,2,0.2,0.8571428571428571,0.7142857142857143,1.6342857142857157,8.171428571428578,101.69,-12.47,77.05999999999999,-19.84,8.15477145148356,3.8840725806451606
true,F:\FOREX\nsresource\news-schedule\schedule-from-db-United States Existing Home Sales MoM.csv,F:\FOREX\nsresource\parameters\multiSettings.csv,true,false,United States Existing Home Sales MoM,USD,USD/JPY,LONG,2.0,0.0,2.5,0.1,10,0,5,0,3.0,0.5,5.7,1.5,true,true,true,false,0.01,0.001,0.0,5.0,1000.0,1057.2,32.010000000000005,666568.15,35,7,7,0,48.69,-12.47,6,1,5,2,0.2,0.8571428571428571,0.7142857142857143,1.6342857142857157,8.171428571428578,101.69,-12.47,77.05999999999999,-19.84,8.15477145148356,3.8840725806451606
